name	date
raonic-finale-2016-prev2	2016-11-12 16:36:00
bryans-fans-favourite-atp-awards-2016	2016-11-12 01:37:00
wawrinka-finale-2016-presser-friday	2016-11-11 21:41:00
nishikori-london-finals-2016-friday-preview	2016-11-11 21:46:00
huey-mirnyi-2016-finale-programme	2016-11-12 19:26:00
cilic-finale-2016-preview	2016-11-11 18:52:00
murray-finale-2016-preview	2016-11-11 18:35:00
finale-2016-preview-dodig-melo	2016-11-12 17:19:00
murray-london-2016-programme	2016-11-09 21:59:00
monfils-london-2016-programme	2016-11-10 00:03:00
cilic-london-2016-programme	2016-11-09 18:39:00
fedex_chart-ytdtop10_1920x1080	2016-11-09 08:04:00
djokovic-london-2016-programme	2016-11-08 21:50:00
nishikori-london-2016-programme	2016-11-08 19:34:00
unicef-super8-2016	2016-11-09 21:49:00
2016doublesracelondon_1920x1080	2016-11-08 18:39:00
stan_bigmatch_1920x1080	2016-11-07 19:05:00
the-groups-are--set-singles_1920x1080-2016	2016-11-07 16:11:00
paris-2016-sunday-murray3	2016-11-06 18:45:00
peers-kontinen-paris-2016-sunday	2016-11-06 13:43:00
watchlive-paris_1920x1080_singlesfinal-(1)	2016-11-05 21:31:00
paris-2016-saturday-murray	2016-11-05 14:57:00
isner-paris-2016-saturday	2016-11-05 14:44:00
peers-kontinen-paris-2016-doubles-saturday	2016-11-05 12:49:00
murray-sat-preview-2016	2016-11-05 04:29:00
peers-kontinen-paris-2016-friday	2016-11-04 18:33:00
murray-paris-2016-friday	2016-11-04 20:34:00
cilic-paris-2016-friday-2	2016-11-04 20:01:00
murray-2016-friday-preview	2016-11-04 00:22:00
tsonga-paris-2016-thursday	2016-11-03 21:37:00
the-field-is-set-dubs-atp_1920x1080	2016-11-03 21:18:00
murray-paris-2016-thursday	2016-11-03 18:50:00
djokovic-2016-thursday-paris-1	2016-11-03 18:20:00
sock-paris-2016-thursday	2016-11-03 15:03:00
cilicqualifies2016_1920x1080	2016-11-03 12:09:00
cilic-paris-2016-friday3	2016-11-03 13:10:00
djokovic-preview-paris-2016-thursday	2016-11-03 07:46:00
murray-paris-2016-wed-2	2016-11-02 22:10:00
qureshi-dimitrov-paris-wednesday-2016	2016-11-02 19:42:00
djokovic-paris-2016-wednesday3	2016-11-02 18:35:00
sock-paris-2016-wednesday	2016-11-02 16:55:00
cilic-paris-2016-wednesday	2016-11-02 13:56:00
nishikori-paris-2016-wednesday	2016-11-02 12:09:00
murray-preview-paris-2016-wednesday	2016-11-02 01:58:00
benneteau-roger-vasselin-paris-2016-doubles-tuesday-2	2016-11-02 01:12:00
raonic-paris-2016-tuesday	2016-11-01 19:22:00
berdych-paris-2016-tuesday	2016-11-01 15:48:00
carreno-busta-paris-2016-monday	2016-10-31 11:15:00
kontinen-peers-paris-2016-monday	2016-10-31 17:56:00
fognini-paris-monday-preview-2016	2016-10-31 08:41:00
paris-2016-infographic-1920x1080-v2	2016-11-03 23:52:00
murray-no-1-2016-paris	2016-10-30 20:25:00
djokovic-paris-2016-preview	2016-10-30 17:44:00
paris-race-preview-2016-berdych	2016-10-30 20:28:00
basel-2016-final-cilic2	2016-10-30 16:18:00
murray-vienna-2016-trophy	2016-10-30 17:12:00
basel-2016-doubles-final-sock-granollers	2016-10-30 14:09:00
kubot-melo-vienna-2016-doubles-trophy	2016-10-30 17:33:00
thiem-barclays	2016-10-28 19:38:00
venus-lindstedt-basel-2016-saturday	2016-10-29 17:22:00
nishikori-basel-satuday-2016	2016-10-29 15:08:00
vienna-2016-saturday-tsonga-	2016-10-29 14:53:00
bryans-1000-2-2016	2016-10-28 21:37:00
nishikori-basel-2016-friday	2016-10-28 18:21:00
murray-vienna-2016-friday	2016-10-28 19:58:00
rojer-tecau-basel-2016-thursday	2016-10-27 20:37:00
murray-vienna-2016-thursday	2016-10-27 19:48:00
monfilsqualifies2016_1920x1080	2016-10-22 04:40:00
wawrinka-basel-2016-thursday-2	2016-10-27 19:29:00
klaasen_ram_dubs-qualy-london_1920x1080	2016-10-27 10:14:00
huey-mirnyi-basel-2016-wednesday	2016-10-26 21:56:00
del-potro-basel-2016-wednesday	2016-10-26 19:55:00
nishikori-basel-2016-wednesday	2016-10-26 17:22:00
murra-vienna-2016-wednesday-12	2016-10-26 19:04:00
venus-lindstedt-doubles-basel-2016	2016-10-26 00:04:00
wawrinka-basel-2016-tuesday-2	2016-10-25 21:47:00
thiem-vienna-2016-tuesday	2016-10-25 20:06:00
berankis-basel-2016-tuesday	2016-10-25 18:21:00
